model,dataset,optim_level,accuracy,precision,recall,f1,mcc,fpr
aixcoder-7b,pseudo_code,O0,0.7095115681233933,0.7076923076923077,0.5508982035928144,0.6195286195286195,0.39845995343893936,0.3362831858109484
aixcoder-7b,pseudo_code,O1,0.9372384937238494,0.9693877551020408,0.8878504672897196,0.926829268292683,0.8746498302425881,0.19999999986666667
aixcoder-7b,pseudo_code,O2,0.9540229885057471,0.9285714285714286,0.9558823529411765,0.9420289855072463,0.9042077422560242,0.6249999992187499
aixcoder-7b,pseudo_code,O3,0.944954128440367,0.9438202247191011,0.9230769230769231,0.9333333333333333,0.8866269270845095,0.41666666631944443
aixcoder-7b,pseudo_code,Os,0.9210526315789473,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.837593984962406,0.4999999997222222
aixcoder-7b,pseudo_code,all,0.8669871794871795,0.8755186721991701,0.7992424242424242,0.8356435643564356,0.7264457425365279,0.36144578311075626
aixcoder-7b,source_code_mix_pseudo_code,O0,0.8071979434447301,0.8194444444444444,0.7065868263473054,0.7588424437299035,0.6042712441866833,0.3466666666204445
aixcoder-7b,source_code_mix_pseudo_code,O1,0.9330543933054394,0.9504950495049505,0.897196261682243,0.9230769230769231,0.8650321869315882,0.3124999998046875
aixcoder-7b,source_code_mix_pseudo_code,O2,0.9770114942528736,0.9571428571428572,0.9852941176470589,0.9710144927536232,0.9522480925316115,0.7499999981250001
aixcoder-7b,source_code_mix_pseudo_code,O3,0.9724770642201835,0.9775280898876404,0.9560439560439561,0.9666666666666667,0.9434029978093964,0.33333333277777777
aixcoder-7b,source_code_mix_pseudo_code,Os,0.9605263157894737,0.93,0.9789473684210527,0.9538461538461539,0.9203260291874831,0.7777777769135802
aixcoder-7b,source_code_mix_pseudo_code,all,0.9118589743589743,0.9146825396825397,0.8731060606060606,0.8934108527131783,0.818987007992938,0.39090909087355374
codellama-7b,pseudo_code,O0,0.7146529562982005,0.7028985507246377,0.5808383233532934,0.6360655737704918,0.4098471959584987,0.3693693693360929
codellama-7b,pseudo_code,O1,0.8619246861924686,0.8775510204081632,0.8037383177570093,0.8390243902439024,0.7206788191245092,0.3636363635261708
codellama-7b,pseudo_code,O2,0.9080459770114943,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.8060951404402762,0.4374999997265625
codellama-7b,pseudo_code,O3,0.8623853211009175,0.8588235294117647,0.8021978021978022,0.8295454545454546,0.7155539248858547,0.3999999998666667
codellama-7b,pseudo_code,Os,0.868421052631579,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.728252704039083,0.3333333332222222
codellama-7b,pseudo_code,all,0.8237179487179487,0.826271186440678,0.7386363636363636,0.78,0.6364816083833202,0.37272727271033057
codellama-7b,source_code_mix_pseudo_code,O0,0.7917737789203085,0.8071428571428572,0.6766467065868264,0.7361563517915309,0.5723789365173249,0.3333333332921811
codellama-7b,source_code_mix_pseudo_code,O1,0.9539748953974896,0.9897959183673469,0.9065420560747663,0.9463414634146341,0.9088656104910502,0.09090909082644627
codellama-7b,source_code_mix_pseudo_code,O2,0.9712643678160919,0.9436619718309859,0.9852941176470589,0.9640287769784173,0.9407311567722948,0.7999999984
codellama-7b,source_code_mix_pseudo_code,O3,0.9357798165137615,0.9425287356321839,0.9010989010989011,0.9213483146067416,0.8677565521935099,0.3571428568877551
codellama-7b,source_code_mix_pseudo_code,Os,0.9517543859649122,0.9375,0.9473684210526315,0.9424083769633508,0.900937462695559,0.5454545449586776
codellama-7b,source_code_mix_pseudo_code,all,0.9022435897435898,0.9126016260162602,0.8503787878787878,0.8803921568627451,0.7993328142967351,0.35245901636455257
deepseek-reasoner,pseudo_code,O0,0.5218508997429306,0.46905537459283386,0.8622754491017964,0.6075949367088608,0.15538475057387327,0.8763440859743901
deepseek-reasoner,pseudo_code,O1,0.5355648535564853,0.489247311827957,0.8504672897196262,0.621160409556314,0.15652857591601751,0.8558558557787518
deepseek-reasoner,pseudo_code,O2,0.4885057471264368,0.42105263157894735,0.8235294117647058,0.5572139303482587,0.11165364416276143,0.8651685392286328
deepseek-reasoner,pseudo_code,O3,0.5321100917431193,0.4678362573099415,0.8791208791208791,0.6106870229007634,0.19496526272078135,0.8921568626576317
deepseek-reasoner,pseudo_code,Os,0.5350877192982456,0.4658385093167702,0.7894736842105263,0.5859375,0.1546105922402671,0.8113207546404415
deepseek-reasoner,pseudo_code,all,0.5240384615384616,0.46555323590814196,0.8446969696969697,0.6002691790040376,0.1562650812524449,0.861952861938351
dsc-1.3b,pseudo_code,O0,0.7223650385604113,0.7092198581560284,0.5988023952095808,0.6493506493506493,0.4264058265285867,0.37962962959447877
dsc-1.3b,pseudo_code,O1,0.8744769874476988,0.8888888888888888,0.822429906542056,0.8543689320388349,0.7461023845520055,0.3666666665444444
dsc-1.3b,pseudo_code,O2,0.8850574712643678,0.8243243243243243,0.8970588235294118,0.8591549295774648,0.7643047933907702,0.649999999675
dsc-1.3b,pseudo_code,O3,0.7981651376146789,0.7831325301204819,0.7142857142857143,0.7471264367816092,0.5814771425159369,0.4090909089979339
dsc-1.3b,pseudo_code,Os,0.8728070175438597,0.8586956521739131,0.8315789473684211,0.8449197860962567,0.7374327684966354,0.4482758619143876
dsc-1.3b,pseudo_code,all,0.8149038461538461,0.803680981595092,0.7443181818181818,0.7728613569321534,0.6183556487778642,0.4155844155664249
dsc-1.3b,source_code_mix_pseudo_code,O0,0.7789203084832905,0.7872340425531915,0.6646706586826348,0.7207792207792207,0.5452484326456859,0.34883720926176315
dsc-1.3b,source_code_mix_pseudo_code,O1,0.895397489539749,0.9183673469387755,0.8411214953271028,0.8780487804878049,0.7891103796214332,0.319999999872
dsc-1.3b,source_code_mix_pseudo_code,O2,0.9482758620689655,0.9402985074626866,0.9264705882352942,0.9333333333333333,0.8911488585363716,0.4444444439506172
dsc-1.3b,source_code_mix_pseudo_code,O3,0.8899082568807339,0.8764044943820225,0.8571428571428571,0.8666666666666667,0.7730747856347359,0.4583333331423611
dsc-1.3b,source_code_mix_pseudo_code,Os,0.9122807017543859,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8195488721804511,0.49999999975
dsc-1.3b,source_code_mix_pseudo_code,all,0.8685897435897436,0.8714285714285714,0.8087121212121212,0.8388998035363457,0.7296483149219614,0.38414634143999105
dsc-7b,pseudo_code,O0,0.712082262210797,0.6950354609929078,0.5868263473053892,0.6363636363636364,0.4047980799618415,0.3839285713942921
dsc-7b,pseudo_code,O1,0.7573221757322176,0.7578947368421053,0.6728971962616822,0.7128712871287128,0.5066823606274703,0.39655172406956
dsc-7b,pseudo_code,O2,0.735632183908046,0.671875,0.6323529411764706,0.6515151515151515,0.4393904556087588,0.4565217390311909
dsc-7b,pseudo_code,O3,0.7844036697247706,0.782051282051282,0.6703296703296703,0.7218934911242604,0.5518967208587464,0.36170212758261655
dsc-7b,pseudo_code,Os,0.7280701754385965,0.7088607594936709,0.5894736842105263,0.6436781609195402,0.43155789594962163,0.37096774187565035
dsc-7b,pseudo_code,all,0.7395833333333334,0.7221006564551422,0.625,0.6700507614213198,0.4600519687852316,0.3907692307572071
dsc-7b,source_code_mix_pseudo_code,O0,0.7789203084832905,0.7647058823529411,0.7005988023952096,0.73125,0.5455915199938113,0.41860465111411577
dsc-7b,source_code_mix_pseudo_code,O1,0.8786610878661087,0.90625,0.8130841121495327,0.8571428571428571,0.7555696955885524,0.31034482747919145
dsc-7b,source_code_mix_pseudo_code,O2,0.8908045977011494,0.8266666666666667,0.9117647058823529,0.8671328671328671,0.7775063949111524,0.6842105259556787
dsc-7b,source_code_mix_pseudo_code,O3,0.8669724770642202,0.8604651162790697,0.8131868131868132,0.8361581920903954,0.7251588956573661,0.41379310330558855
dsc-7b,source_code_mix_pseudo_code,Os,0.9210526315789473,0.9052631578947369,0.9052631578947369,0.9052631578947369,0.837593984962406,0.4999999997222222
dsc-7b,source_code_mix_pseudo_code,all,0.8549679487179487,0.8435643564356435,0.8068181818181818,0.8247821878025169,0.7016744761695828,0.436464088373676
gpt-3.5-turbo,pseudo_code,O0,0.4961439588688946,0.44802867383512546,0.7485029940119761,0.5605381165919282,0.06024077307918533,0.7857142856741982
gpt-3.5-turbo,pseudo_code,O1,0.4811715481171548,0.44654088050314467,0.6635514018691588,0.5338345864661654,-0.003282692979693092,0.7096774192976067
gpt-3.5-turbo,pseudo_code,O2,0.5229885057471264,0.43243243243243246,0.7058823529411765,0.5363128491620112,0.11324444186059168,0.7590361444868632
gpt-3.5-turbo,pseudo_code,O3,0.5688073394495413,0.4881889763779528,0.6813186813186813,0.5688073394495413,0.16950765769663406,0.691489361628565
gpt-3.5-turbo,pseudo_code,Os,0.4824561403508772,0.4228187919463087,0.6631578947368421,0.5163934426229508,0.01713767817850483,0.72881355926027
gpt-3.5-turbo,pseudo_code,all,0.5072115384615384,0.44727272727272727,0.6988636363636364,0.5454545454545454,0.06839561008378515,0.74146341462209
llm4decompile-1.3b-v2,pseudo_code,O0,0.7017994858611826,0.6917293233082706,0.5508982035928144,0.6133333333333333,0.3821406975880023,0.3534482758315993
llm4decompile-1.3b-v2,pseudo_code,O1,0.8200836820083682,0.8137254901960784,0.7757009345794392,0.7942583732057417,0.6351432238319724,0.44186046501352083
llm4decompile-1.3b-v2,pseudo_code,O2,0.8160919540229885,0.8,0.7058823529411765,0.75,0.6084092442730079,0.3749999998828125
llm4decompile-1.3b-v2,pseudo_code,O3,0.7981651376146789,0.7901234567901234,0.7032967032967034,0.7441860465116279,0.5811209615959706,0.3863636362758264
llm4decompile-1.3b-v2,pseudo_code,Os,0.8728070175438597,0.875,0.8105263157894737,0.8415300546448088,0.7370653336865389,0.37931034469678954
llm4decompile-1.3b-v2,pseudo_code,all,0.7884615384615384,0.7844827586206896,0.6893939393939394,0.7338709677419355,0.5627655390362196,0.37878787877353076
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O0,0.7429305912596401,0.7218543046357616,0.6526946107784432,0.6855345911949685,0.470774129552568,0.419999999958
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O1,0.9372384937238494,0.9693877551020408,0.8878504672897196,0.926829268292683,0.8746498302425881,0.19999999986666667
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O2,0.9425287356321839,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.8789199350594912,0.3999999996
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,O3,0.963302752293578,0.9368421052631579,0.978021978021978,0.956989247311828,0.9256658750380315,0.7499999990624999
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,Os,0.9692982456140351,0.9489795918367347,0.9789473684210527,0.9637305699481865,0.937466153982744,0.7142857132653061
llm4decompile-1.3b-v2,source_code_mix_pseudo_code,all,0.8878205128205128,0.8818897637795275,0.8484848484848485,0.8648648648648649,0.7694544861351025,0.4285714285408163
llm4decompile-6.7b-v2,pseudo_code,O0,0.712082262210797,0.6923076923076923,0.592814371257485,0.6387096774193548,0.4051109955950173,0.39285714282206635
llm4decompile-6.7b-v2,pseudo_code,O1,0.8451882845188284,0.8571428571428571,0.7850467289719626,0.8195121951219512,0.6864630388760472,0.3783783782761139
llm4decompile-6.7b-v2,pseudo_code,O2,0.867816091954023,0.835820895522388,0.8235294117647058,0.8296296296296296,0.7217109394453163,0.47826086935727785
llm4decompile-6.7b-v2,pseudo_code,O3,0.7981651376146789,0.7901234567901234,0.7032967032967034,0.7441860465116279,0.5811209615959706,0.3863636362758264
llm4decompile-6.7b-v2,pseudo_code,Os,0.8771929824561403,0.9036144578313253,0.7894736842105263,0.8426966292134831,0.7472822541748156,0.2857142856122449
llm4decompile-6.7b-v2,pseudo_code,all,0.8044871794871795,0.8008474576271186,0.7159090909090909,0.756,0.5963477640390203,0.3852459016235555
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O0,0.7917737789203085,0.8028169014084507,0.6826347305389222,0.7378640776699029,0.5721553424872726,0.34567901230300263
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O1,0.9037656903765691,0.9375,0.8411214953271028,0.8866995073891626,0.807061328678277,0.26086956510396975
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O2,0.9540229885057471,0.9285714285714286,0.9558823529411765,0.9420289855072463,0.9042077422560242,0.6249999992187499
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,O3,0.9128440366972477,0.95,0.8351648351648352,0.8888888888888888,0.8222712643896497,0.21052631567867036
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,Os,0.9342105263157895,0.9347826086956522,0.9052631578947369,0.9197860962566845,0.8643679171722858,0.39999999973333333
llm4decompile-6.7b-v2,source_code_mix_pseudo_code,all,0.8830128205128205,0.8979166666666667,0.8162878787878788,0.8551587301587301,0.7598335161911727,0.33561643833317695
llm4decompile-9b-v2,pseudo_code,O0,0.7763496143958869,0.7666666666666667,0.688622754491018,0.7255520504731862,0.5399531962557991,0.4022988505284714
llm4decompile-9b-v2,pseudo_code,O1,0.9581589958158996,0.98989898989899,0.9158878504672897,0.9514563106796117,0.9169218786682325,0.0999999999
llm4decompile-9b-v2,pseudo_code,O2,0.9942528735632183,0.9855072463768116,1.0,0.9927007299270073,0.9880334043965545,0.9999999900000002
llm4decompile-9b-v2,pseudo_code,O3,0.9724770642201835,0.967032967032967,0.967032967032967,0.967032967032967,0.9434109197888726,0.49999999916666665
llm4decompile-9b-v2,pseudo_code,Os,0.9912280701754386,0.979381443298969,1.0,0.9895833333333334,0.9821679605842539,0.999999995
llm4decompile-9b-v2,pseudo_code,all,0.9150641025641025,0.9169960474308301,0.8787878787878788,0.8974854932301741,0.8255825860556291,0.39622641505695977
llm4decompile-9b-v2,source_code_mix_pseudo_code,O0,0.8431876606683805,0.8732394366197183,0.7425149700598802,0.8025889967637541,0.6800306954475038,0.29508196716474067
llm4decompile-9b-v2,source_code_mix_pseudo_code,O1,0.9623430962343096,0.99,0.9252336448598131,0.9565217391304348,0.9250224137703909,0.1111111109876543
llm4decompile-9b-v2,source_code_mix_pseudo_code,O2,0.9885057471264368,0.9714285714285714,1.0,0.9855072463768116,0.976268267669405,0.999999995
llm4decompile-9b-v2,source_code_mix_pseudo_code,O3,0.9724770642201835,0.967032967032967,0.967032967032967,0.967032967032967,0.9434109197888726,0.49999999916666665
llm4decompile-9b-v2,source_code_mix_pseudo_code,Os,0.9780701754385965,0.96875,0.9789473684210527,0.9738219895287958,0.9549937104572925,0.5999999988
llm4decompile-9b-v2,source_code_mix_pseudo_code,all,0.9334935897435898,0.9458917835671342,0.8939393939393939,0.9191820837390458,0.8637511991118564,0.32530120478008423
llmcompiler-7b,pseudo_code,O0,0.7737789203084833,0.7724137931034483,0.6706586826347305,0.717948717948718,0.5343608838639503,0.37499999995738637
llmcompiler-7b,pseudo_code,O1,0.9330543933054394,0.9595959595959596,0.8878504672897196,0.9223300970873787,0.8656760304333644,0.24999999984375
llmcompiler-7b,pseudo_code,O2,0.9597701149425287,0.9295774647887324,0.9705882352941176,0.9496402877697842,0.9167652385763388,0.7142857132653061
llmcompiler-7b,pseudo_code,O3,0.963302752293578,0.9882352941176471,0.9230769230769231,0.9545454545454546,0.9253470917615461,0.12499999984374999
llmcompiler-7b,pseudo_code,Os,0.9780701754385965,0.9787234042553191,0.968421052631579,0.9735449735449735,0.9548582609040626,0.3999999992
llmcompiler-7b,pseudo_code,all,0.9006410256410257,0.9089068825910931,0.8503787878787878,0.8786692759295499,0.7959640812730095,0.36290322577718526
llmcompiler-7b,source_code_mix_pseudo_code,O0,0.8174807197943444,0.8287671232876712,0.7245508982035929,0.7731629392971247,0.6255510876738993,0.35211267600674473
llmcompiler-7b,source_code_mix_pseudo_code,O1,0.9497907949790795,0.9896907216494846,0.897196261682243,0.9411764705882353,0.9008523154772433,0.08333333326388888
llmcompiler-7b,source_code_mix_pseudo_code,O2,0.9712643678160919,0.9436619718309859,0.9852941176470589,0.9640287769784173,0.9407311567722948,0.7999999984
llmcompiler-7b,source_code_mix_pseudo_code,O3,0.944954128440367,0.9540229885057471,0.9120879120879121,0.9325842696629213,0.8867515244174466,0.3333333330555555
llmcompiler-7b,source_code_mix_pseudo_code,Os,0.9649122807017544,0.967741935483871,0.9473684210526315,0.9574468085106383,0.9277537855129119,0.37499999953124996
llmcompiler-7b,source_code_mix_pseudo_code,all,0.9134615384615384,0.9251012145748988,0.865530303030303,0.8943248532289628,0.8224962173154432,0.3425925925608711
